,model_name,fold,accuracy,vectorizer,method
22,NaiveBayes,2,0.6826601882781658,count,none
23,NaiveBayes,3,0.6744609778317644,count,none
24,NaiveBayes,4,0.6717279076829639,count,none
25,NaiveBayes,5,0.6649453219927096,count,none
26,NaiveBayes,6,0.6886391251518833,count,none
27,NaiveBayes,7,0.6795261239368166,count,none
28,NaiveBayes,8,0.6849939246658566,count,none
29,NaiveBayes,9,0.6816524908869988,count,none
30,RandomForest,0,0.7485575463103553,count,none
31,RandomForest,1,0.754327361068934,count,none
32,RandomForest,2,0.749164895232311,count,none
33,RandomForest,3,0.7522016398420893,count,none
34,RandomForest,4,0.7576677801396903,count,none
35,RandomForest,5,0.7518226002430134,count,none
36,RandomForest,6,0.7776427703523694,count,none
37,RandomForest,7,0.7506075334143378,count,none
38,RandomForest,8,0.7503037667071689,count,none
39,RandomForest,9,0.7591130012150669,count,none
